filename,algorithm,,population,stepSize,time,memory,generation
gosperglidergun.rle,hashlife,,183,2,3.515,11101128,864
gosperglidergun.rle,hashlife,,187,2,3.535,11999816,866
gosperglidergun.rle,hashlife,,190,2,3.47,12880296,868
gosperglidergun.rle,hashlife,,181,2,2.655,13486656,870
gosperglidergun.rle,hashlife,,188,2,2.705,14109592,872
gosperglidergun.rle,hashlife,,196,2,2.77,14760600,874
gosperglidergun.rle,hashlife,,196,2,2.825,15433952,876
gosperglidergun.rle,hashlife,,206,2,2.9,16131232,878
gosperglidergun.rle,hashlife,,193,2,6.03,11862552,880
gosperglidergun.rle,hashlife,,199,2,3.325,12758280,882
gosperglidergun.rle,hashlife,,201,2,3.35,13566824,884
gosperglidergun.rle,hashlife,,189,2,3.255,14337352,886
gosperglidergun.rle,hashlife,,198,2,3.15,15065976,888
gosperglidergun.rle,hashlife,,199,2,3.28,15855488,890
